kingdom_id	phylum_id	class_id	order_id	family_id	genus_id	species_id
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9726: 'Delphinidae'}	{9729: 'Globicephala'}	{9731: 'Globicephala melas'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{8111: 'Perciformes'}	{8165: 'Percidae'}	{283033: 'Sander'}	{283035: 'Sander lucioperca'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{10066: 'Muridae'}	{30639: 'Mastomys'}	{35658: 'Mastomys coucha'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{1489911: 'Cichliformes'}	{8113: 'Cichlidae'}	{8139: 'Oreochromis'}	{47969: 'Oreochromis aureus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{9577: 'Hylobatidae'}	{9578: 'Hylobates'}	{81572: 'Hylobates moloch'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{9498: 'Cebidae'}	{1532884: 'Sapajus'}	{9515: 'Sapajus apella'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9655: 'Mustelidae'}	{9665: 'Mustela'}	{36723: 'Mustela erminea'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9709: 'Phocidae'}	{9717: 'Phoca'}	{9720: 'Phoca vitulina'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{8111: 'Perciformes'}	{8165: 'Percidae'}	{54318: 'Etheostoma'}	{54343: 'Etheostoma spectabile'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{28738: 'Cyprinodontiformes'}	{8079: 'Poeciliidae'}	{8082: 'Xiphophorus'}	{8084: 'Xiphophorus hellerii'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9740: 'Phocoenidae'}	{9741: 'Phocoena'}	{42100: 'Phocoena sinus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	<not present>	{8459: 'Testudines'}	{8487: 'Testudinidae'}	{904181: 'Chelonoidis'}	{106734: 'Chelonoidis abingdonii'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9655: 'Mustelidae'}	{71112: 'Lontra'}	{76717: 'Lontra canadensis'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{10066: 'Muridae'}	{10114: 'Rattus'}	{10117: 'Rattus rattus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9397: 'Chiroptera'}	{58055: 'Rhinolophidae'}	{49442: 'Rhinolophus'}	{59479: 'Rhinolophus ferrumequinum'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{8504: 'Lepidosauria'}	{8509: 'Squamata'}	{8522: 'Lacertidae'}	{8523: 'Lacerta'}	{80427: 'Lacerta agilis'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{9527: 'Cercopithecidae'}	{54136: 'Trachypithecus'}	{54180: 'Trachypithecus francoisi'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9726: 'Delphinidae'}	{9738: 'Tursiops'}	{9739: 'Tursiops truncatus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{8292: 'Amphibia'}	{8445: 'Gymnophiona'}	{264006: 'Dermophiidae'}	{260994: 'Geotrypetes'}	{260995: 'Geotrypetes seraphini'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{8504: 'Lepidosauria'}	{8509: 'Squamata'}	{8578: 'Colubridae'}	{201800: 'Pantherophis'}	{94885: 'Pantherophis guttatus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{10066: 'Muridae'}	{61153: 'Arvicanthis'}	{61156: 'Arvicanthis niloticus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9709: 'Phocidae'}	{9714: 'Mirounga'}	{9715: 'Mirounga leonina'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{8504: 'Lepidosauria'}	{8509: 'Squamata'}	{8522: 'Lacertidae'}	{141678: 'Zootoca'}	{8524: 'Zootoca vivipara'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9709: 'Phocidae'}	{9710: 'Halichoerus'}	{9711: 'Halichoerus grypus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{337677: 'Cricetidae'}	{38667: 'Onychomys'}	{38674: 'Onychomys torridus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9397: 'Chiroptera'}	{9436: 'Molossidae'}	{27621: 'Molossus'}	{27622: 'Molossus molossus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9397: 'Chiroptera'}	{9431: 'Vespertilionidae'}	{9434: 'Myotis'}	{51298: 'Myotis myotis'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9397: 'Chiroptera'}	{9431: 'Vespertilionidae'}	{27671: 'Pipistrellus'}	{59472: 'Pipistrellus kuhlii'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{38609: 'Diprotodontia'}	{9335: 'Phalangeridae'}	{9336: 'Trichosurus'}	{9337: 'Trichosurus vulpecula'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9765: 'Balaenopteridae'}	{9766: 'Balaenoptera'}	{9771: 'Balaenoptera musculus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9971: 'Pholidota'}	{9972: 'Manidae'}	{9973: 'Manis'}	{143292: 'Manis pentadactyla'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9397: 'Chiroptera'}	{9415: 'Phyllostomidae'}	{27659: 'Sturnira'}	{192404: 'Sturnira hondurensis'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9397: 'Chiroptera'}	{9415: 'Phyllostomidae'}	{9416: 'Artibeus'}	{9417: 'Artibeus jamaicensis'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9362: 'Eulipotyphla'}	{9373: 'Talpidae'}	{9374: 'Talpa'}	{50954: 'Talpa occidentalis'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{28738: 'Cyprinodontiformes'}	{28771: 'Rivulidae'}	{942014: 'Nematolebias'}	{451745: 'Nematolebias whitei'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{948950: 'Pilosa'}	{227508: 'Megalonychidae'}	{9357: 'Choloepus'}	{27675: 'Choloepus didactylus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{337677: 'Cricetidae'}	{10049: 'Arvicola'}	{1047088: 'Arvicola amphibius'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	<not present>	{8459: 'Testudines'}	{27792: 'Dermochelyidae'}	{27793: 'Dermochelys'}	{27794: 'Dermochelys coriacea'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9255: 'Monotremata'}	{9259: 'Tachyglossidae'}	{9260: 'Tachyglossus'}	{9261: 'Tachyglossus aculeatus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9676: 'Hyaenidae'}	{95911: 'Hyaena'}	{95912: 'Hyaena hyaena'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{8504: 'Lepidosauria'}	{8509: 'Squamata'}	{8689: 'Viperidae'}	{8728: 'Crotalus'}	{88082: 'Crotalus tigris'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	<not present>	{8459: 'Testudines'}	{328320: 'Geoemydidae'}	{74925: 'Mauremys'}	{260615: 'Mauremys reevesii'}
